21.3979 , 4.78018
21.5539 , 6.02476
18.3556 , 6.75147
18.1411 , 5.21807
0,0
17.9776 , 5.38562
18.1621 , 6.61895
17.8216 , 4.14104
14.9791 , 4.52138
14.6842 , 7.14684
0,0
14.8764 , 2.45375
15.0982 , 4.00935
15.9691 , 2.30404
16.1908 , 3.83741
0,0
14.8545 , -2.18274
14.839 , 2.087
15.7186 , -2.32025
15.903 , 1.92631
0,0
13.8231 , -4.17928
16.6871 , -4.57085
16.7524 , -2.84772
13.8027 , -2.45575
0,0
13.6527 , -2.44392
10.496 , -2.0065
13.6767 , -3.40027
10.3702 , -2.90654
0,0
-0.0996749 , -2.94605
3.18031 , -3.00601
0.113558 , -1.67949
3.29376 , -1.6834
0,0
5.99594 , -3.03043
6.28904 , -1.4974
5.8322 , -1.38406
5.89136 , -0.961816
3.65176 , -0.0283674
3.33748 , -3.01788
0,0
6.18889 , -3.03134
7.47419 , -3.25979
7.43016 , -3.5042
8.82271 , -3.72203
8.86711 , -3.3998
10.1168 , -3.59472
10.3315 , -2.01684
6.45325 , -1.53153
0,0
13.6804 , -4.14525
13.6767 , -3.40027
10.3702 , -2.90654
10.2808 , -3.67332
0,0
13.8231 , -4.17928
16.6871 , -4.57085
16.7524 , -2.84772
13.8027 , -2.45575
0,0
15.7186 , -2.32025
16.5899 , -2.44667
16.9171 , 1.76586
15.903 , 1.92631
0,0
15.9691 , 2.30404
16.9831 , 2.13247
17.1906 , 3.68814
16.1908 , 3.83741
0,0
17.9776 , 5.38562
18.1621 , 6.61895
17.8216 , 4.14104
14.9791 , 4.52138
14.6842 , 7.14684
0,0
17.9711 , 4.00691
21.2789 , 3.80227
21.3979 , 4.78018
18.1411 , 5.21807
0,0
