10 2.953636 2681.102051 0.002712 1 1.000000
5 2.441229 3.006092 0.007521 1 1.000000
5 2.193994 5.515337 0.012273 1 1.000000
10 2.283686 3183.641602 0.010278 1 1.000000
2 1.761032 0.398320 0.028691 2 1.000000
5 1.152913 5.992315 0.090642 1 1.000000
5 1.395064 3.006092 0.057860 1 1.000000
10 1.576191 2813.166260 0.040997 1 1.000000
11 1.428979 0.010426 0.054271 1 1.000000
10 1.603049 3374.862793 0.038937 1 1.000000
5 1.262096 3.178424 0.074180 1 1.000000
2 1.400604 0.345958 0.057259 2 1.000000
10 1.496265 2681.102051 0.047764 1 1.000000
5 1.481751 5.992315 0.049102 1 1.000000
5 1.288771 3.006092 0.070598 1 1.000000
2 1.268288 0.376720 0.073333 2 1.000000
10 1.452273 3101.590088 0.051929 1 1.000000
5 1.245127 5.992315 0.076544 1 1.000000
5 1.241651 3.006092 0.077037 1 1.000000
7 1.286312 0.279033 0.070921 2 1.000000
10 1.328837 3233.181519 0.065518 1 1.000000
5 1.104831 4.654563 0.098886 1 1.000000
10 1.018002 2681.102051 0.115474 1 1.000000
2 1.217353 0.359602 0.080564 2 1.000000
10 1.204554 3374.862793 0.082481 1 1.000000
5 1.403965 3.006092 0.056897 1 1.000000
10 1.231058 2681.102051 0.078557 1 1.000000
2 1.235786 0.342090 0.077875 2 1.000000
5 1.282940 5.992315 0.071367 1 1.000000
5 1.226567 3.006092 0.079210 1 1.000000
10 1.230030 3039.598389 0.078706 1 1.000000
2 1.229899 0.398320 0.078725 2 1.000000
5 1.221371 5.992315 0.079971 1 1.000000
5 1.220921 3.006092 0.080037 1 1.000000
10 1.241564 2681.102051 0.077049 1 1.000000
2 1.221349 0.359602 0.079974 2 1.000000
10 1.262361 3374.862793 0.074143 1 1.000000
5 1.224591 3.006092 0.079498 1 1.000000
10 1.223148 2681.102051 0.079710 1 1.000000
11 1.276076 0.016098 0.072282 1 1.000000
10 1.221605 3374.862793 0.079937 1 1.000000
5 1.227801 3.334016 0.079030 1 1.000000
10 1.199101 3006.781128 0.083310 1 1.000000
2 1.236596 0.331863 0.077759 2 1.000000
5 1.190301 5.992315 0.084664 1 1.000000
5 1.216079 3.006092 0.080753 1 1.000000
10 1.238916 2681.102051 0.077427 1 1.000000
2 1.223385 0.379064 0.079675 2 1.000000
10 1.252396 3374.862793 0.075523 1 1.000000
5 1.223735 2.972094 0.079624 1 1.000000
10 1.222440 2672.980713 0.079814 1 1.000000
6 1.223495 0.035445 0.079659 2 1.000000
10 1.217386 3374.862793 0.080559 1 1.000000
5 1.219369 2.625362 0.080266 1 1.000000
10 1.218416 2672.980713 0.080407 1 1.000000
2 1.224951 0.379064 0.079446 2 1.000000
5 1.226156 5.992315 0.079270 1 1.000000
5 1.219906 2.625362 0.080187 1 1.000000
10 1.225970 3183.641602 0.079297 1 1.000000
7 1.227003 0.257509 0.079146 2 1.000000
5 1.220196 5.992315 0.080144 1 1.000000
5 1.220176 3.334016 0.080147 1 1.000000
10 1.219720 3183.641602 0.080214 1 1.000000
2 1.222546 0.359602 0.079798 2 1.000000
5 1.218622 5.992315 0.080376 1 1.000000
5 1.219369 2.625362 0.080266 1 1.000000
10 1.221525 2576.260254 0.079948 1 1.000000
2 1.219038 0.359602 0.080315 2 1.000000
10 1.222220 3374.862793 0.079846 1 1.000000
5 1.221069 4.014771 0.080015 1 1.000000
10 1.219283 1806.022217 0.080279 1 1.000000
6 1.221777 0.021512 0.079911 2 1.000000
10 1.169665 3374.862793 0.087918 1 1.000000
5 1.215368 2.363894 0.080859 1 1.000000
10 1.214171 2576.260254 0.081037 1 1.000000
2 1.225339 0.379064 0.079389 2 1.000000
5 1.225381 5.992315 0.079383 1 1.000000
5 1.219500 2.363894 0.080247 1 1.000000
